disease,text,risk_level
malaria,"Please help, how can malaria make me feel so miserable with this constant headache?",High
tricuspid valve disease,The uncertainty of my tricuspid valve disease leaves me feeling nervous more often than not.,Low
chronic rheumatic fever,The palpitations have gotten so bad; I fear I'm in trouble.,Emergency
cerebral edema,"Sometimes my left arm feels weak, and it's really concerning.",Low
breast cancer,"I’ve had some nipple discharge that seems odd to me, but I’ve been told my risk is low.",Low
vacterl syndrome,I wish my emotional symptoms were taken more seriously by doctors.,Low
malaria,This relentless headache makes it impossible to function; malaria is really taking its toll.,High
skin disorder,"The irritation from my dry skin is unbearable, and I need help finding a solution.",Medium
pulmonic valve disease,The palpitations and breathlessness are getting progressively worse. I really need help.,High
knee ligament or meniscus tear,I noticed some weakness in my leg after I twisted my knee slightly.,Low
dislocation of the wrist,"My fingers feel stiff, and it adds to my frustration.",Low
frostbite,"The affected areas are turning black at the edges, and the pain is unbearable; it's really concerning.",High
chalazion,My eyelid is so swollen; I can't wear my favorite makeup anymore.,Medium
myocarditis,The fatigue is extreme and my heart pounds even when I'm resting quietly.,High
arthritis of the hip,My daily routine has become a struggle due to my arthritis symptoms.,Medium
mastectomy,The swelling in my skin makes wearing clothes almost impossible.,Low
hypertrophic obstructive cardiomyopathy (hocm),"Lately, my heart races suddenly and I feel like I might pass out; the palpitations are terrifying.",High
hematoma,Why does my arm feel swollen? It’s definitely not normal.,Low
injury to the arm,"My arm feels stiff, and I can't fully extend it after the fall.",Medium
open wound of the arm,I wish this pain in my arm would go away; it’s exhausting.,Low
anxiety,The insomnia is making my anxiety worse; I can’t cope anymore.,Emergency
broken tooth,Eating has become difficult since my tooth broke; it really hurts.,Low
adrenal adenoma,"I have gained weight rapidly around my midsection, and my face looks puffy and swollen.",High
atrial flutter,"I feel like I'm having an anxiety attack, but it’s really my heart racing.",Emergency
scleroderma,I’m tired of explaining my abnormal skin to friends and family.,Medium
cushing syndrome,"My clothes don’t fit anymore, and it’s making me feel self-conscious.",Low
peyronie disease,The emotional toll of Peyronie's is just as hard to deal with as the physical pain.,Low
trichinosis,The persistent congestion has left me feeling exhausted lately.,Low
floaters,"Every time I blink, the floaters seem to get worse.",Low
autism,I can’t stand watching my child struggle with constant temper problems every single day.,Emergency
kidney disease due to longstanding hypertension,"Please help, i struggle to find words mid-sentence; it’s incredibly frustrating.",High
anemia of chronic disease,I didn’t expect to feel so emotional; it’s hard to manage.,Low
open wound of the chest,"Blood is still coming from the wound, and I feel weak and lightheaded.",High
dislocation of the foot,Even mild foot aches make it hard to focus at work.,Low
poisoning due to ethylene glycol,"Please help, these fainting spells and depressive feelings are ruining my life since the poisoning.",High
tuberous sclerosis,"I dread the next seizure, never knowing when it will strike What should I do?",High
chronic back pain,My hips ache so much that even walking a short distance is agony.,Medium
retinopathy due to high blood pressure,"Lately, my vision has been blurry, and I'm not sure why.",Low
poisoning due to opioids,I didn’t expect the opioids to make me feel so heavy and out of it.,Low
pelvic fistula,Experiencing dizziness and vaginal discharge has changed how I approach everyday life.,Low
fracture of the patella,The pain in my hip seems worse since I fractured my patella.,Low
envenomation from spider or animal bite,"My arm is throbbing, and there's strange fluid retention around the bite area.",Medium
subacute thyroiditis,The pain during pregnancy has been unbearable at times.,Low
malaria,I can’t believe I’m dealing with a lump in my knee just because of malaria.,High
tuberculosis,"I have had a persistent cough for weeks, and now I am coughing up blood.",High
thyroid nodule,"Sometimes I feel this neck mass, and it makes me anxious.",Low
rocky mountain spotted fever,"Wrist pain is a new issue for me, and I’m not sure why it’s happening.",Low
endometrial cancer,The vaginal itching makes me self-conscious; it’s affecting my everyday life.,Low
kidney disease due to longstanding hypertension,Feeling cold all the time is a constant reminder of my kidney problems What should I do?,High
athlete's foot,The dry patches on my feet are so uncomfortable and embarrassing to show off.,Medium
concussion,I feel constant pressure in my head that's really hard to deal with.,Medium
leukemia,"I’ve been feeling more fatigued than usual, and it’s affecting my work performance.",Low
diabetic ketoacidosis,The nausea was unbearable; I couldn't keep anything down.,Emergency
muscular dystrophy,The hip pain is getting worse; I didn’t think it could feel this bad.,Low
lipoma,The large lump on my back has been causing some random aches that worry me.,Medium
liver cancer,I can't shake this nagging pain in my upper abdomen anymore.,Low
pituitary disorder,"Headaches are interfering with work, and I need some answers.",Low
somatization disorder,"Dizziness hits me out of nowhere, leaving me feeling weak and exhausted all the time.",Emergency
achalasia,"Every time I eat, sharp pain radiates through my chest, and I can't ignore it.",Emergency
burn,My knee pain after that brief burn from the grill is really inconvenient.,Low
open wound of the jaw,"This jaw wound is frustrating, especially with all the swelling.",Low
varicose veins,I'm worried about how these veins will affect my overall health.,Medium
aphthous ulcer,The combination of a sore throat and mouth ulcers is ruining my week.,Medium
open wound of the chest,Can someone please help me? The sharp chest pain is making me feel like I’m losing control What should I do?,High
placenta previa,The cramps and spasms make it hard to focus on anything else.,Low
central atherosclerosis,My legs cramp painfully after walking just a short distance. I really need help.,High
kidney disease due to longstanding hypertension,"My blood pressure has been uncontrolled for years, and now my kidneys are suffering.",High
congenital heart defect,The lack of growth in children with congenital heart defects is a worry that keeps me up at night.,High
avascular necrosis,It’s disheartening that my knee pain interferes with simple everyday tasks.,Low
uterine atony,Spotting during pregnancy has left me feeling anxious and worried.,Medium
mitral valve disease,"Fatigue grips me relentlessly, making even simple tasks impossible.",Emergency
croup,His wheezing is getting worse; I can't imagine waiting any longer to see a doctor.,Emergency
central atherosclerosis,"Lately, climbing stairs has become nearly impossible; I'm gasping for air after just a few steps.",High
sebaceous cyst,"My scalp has been itching a lot lately, and I found a strange bump there.",Medium
rhabdomyolysis,"My voice is so hoarse, I can't even speak properly—what’s happening to me?",Emergency
menopause,Why doesn't anyone warn you about the awkwardness of these symptoms?,Low
hemiplegia,"Sometimes, I lose all sensation in my hand; it’s terrifying and confusing.",Emergency
toxoplasmosis,Dealing with emotional symptoms is tough; it feels like I’m on an emotional rollercoaster.,Low
leukemia,I never expected to feel so fatigued; it's like my energy just vanished overnight.,Low
conversion disorder,"I'm experiencing tremors that I can't control, and they started suddenly; it's really concerning.",High
vasculitis,"My legs are constantly painful, making it hard to walk any distance.",Medium
varicose veins,Skin irritation from my varicose veins gives me constant itchiness.,Medium
moyamoya disease,Every day is a challenge with elbow weakness and those dark moods creeping in.,Low
pharyngitis,Why does my throat hurt so much when I try to talk?,Low
intestinal obstruction,The sharp pain in my abdomen is unbearable; I can’t eat or drink anything.,Medium
fracture of the facial bones,My lip swelling makes it hard to eat or drink anything.,Medium
congenital heart defect,"My lips and fingernails turn bluish when I exert myself, and I feel faint. I really need help.",High
stenosis of the tear duct,Why is my eyelid moving abnormally when I'm just trying to relax?,Low
pulmonic valve disease,"Lately, i get extremely tired with any physical activity, and my heart races abnormally.",High
chlamydia,I wish this sharp abdominal pain would just stop already.,Low
amyotrophic lateral sclerosis (als),I hate that my body is betraying me with these involuntary movements.,Low
syringomyelia,"The numbness is spreading, and I'm having difficulty with fine motor tasks.",High
open wound of the chest,"The chest wound is making it hard to move, and the bleeding concerns me. I really need help.",High
malignant hypertension,I can't breathe properly and my chest feels sharp; this can't be normal.,Emergency
intestinal disease,I fainted in the middle of the day after feeling burning abdominal pain; what’s happening?,Emergency
conduct disorder,Her excessive anger is tearing our family apart; we need help now!,Emergency
lymphadenitis,"This cough just won't go away, and my neck is incredibly stiff.",Medium
callus,I’m worried about the abnormal appearance of my skin where the callus is located.,Medium
pinworm infection,I never imagined pinworms could cause such irritating pain in my anus.,Low
spondylolisthesis,The paresthesia in my legs makes it hard to concentrate on anything.,Medium
neonatal jaundice,"I noticed my baby has jaundice, and their stool color has changed significantly.",Low
fracture of the pelvis,I wish someone would explain why my hip pain hasn’t improved.,Low
fracture of the skull,I’ve been feeling so irritable and down; is this normal after a head injury?,Low
rotator cuff injury,"Lately, my shoulder has been so tight that I can’t lift my arm properly.",Low
bladder obstruction,This constant pressure in my bladder is making it hard to focus on anything else.,Medium
hirsutism,"I can’t sleep well because I think I might have apnea, and it’s exhausting.",Low
malaria,"Lately, the fatigue is overwhelming, and my muscles ache like I've run a marathon.",High
polycystic kidney disease,It’s frustrating to explain my condition to friends who just don’t understand the pain I’m in.,Medium
pneumoconiosis,"My chronic cough is getting worse, and I'm always short of breath now. I really need help.",High
dislocation of the finger,My finger is so painful that I can't even shake hands right now.,Low
zenker diverticulum,"I need help, i never expected such sharp chest pain from Zenker diverticulum.",High
retinopathy due to high blood pressure,"I keep seeing these weird clouds in my sight, and it worries me.",Low
fracture of the skull,I’ve been feeling dizzy and can’t shake this awful headache since my skull fracture.,Low
emphysema,I never expected my cough would leave me gasping for breath like this.,Emergency
restless leg syndrome,I dread going to bed; my legs start moving as soon as I lay down.,Medium
breast cancer,"I’ve been getting these hot flashes, and they’ve been a bit overwhelming, but I know I'm low risk.",Low
arrhythmia,"The intense palpitations kept me awake all night, making me feel helpless.",Emergency
mastectomy,I thought the swelling would go down faster than it has.,Low
atonic bladder,The suprapubic pain is really affecting my daily activities.,Low
fracture of the facial bones,I didn't realize how much a fracture could mess with my daily life.,Medium
foreign body in the ear,"The pressure in my ear is unbearable, and I’m starting to wonder if it’s a foreign object.",Low
degenerative disc disease,I can't enjoy family outings anymore because of my hip and back issues.,Medium
psoriasis,"My joint pain sometimes makes it hard to function, and I think it’s related to my psoriasis.",Medium
valley fever,This valley fever experience is overwhelming; I just want some relief from the pain What should I do?,High
social phobia,I often drink too much alcohol just to cope with my social phobia.,Medium
vitreous degeneration,"Lately, I’ve noticed double vision that really worries me.",Medium
hypercalcemia,"I’m experiencing frequent urination, which is so uncomfortable.",Low
attention deficit hyperactivity disorder (adhd),Even simple chores feel overwhelming because my mind keeps wandering.,Medium
tuberculosis,It feels like an elephant is sitting on my chest all the time.,High
graves disease,"I find myself sweating excessively, and it’s really embarrassing during meetings.",Low
chondromalacia of the patella,It's so annoying when my knee pops and hurts while walking.,Low
hypothermia,"I need help, i started to hear things that weren’t there, which frightened me in the cold.",High
acute glaucoma,The pressure buildup in my eye is causing me a lot of anxiety.,Medium
congenital heart defect,I can't shake the feeling that my arm swelling is related to my congenital heart issue.,High
priapism,I can barely lift my arm due to elbow weakness and it’s frustrating.,Low
orbital cellulitis,I have this nagging eye pain and just hope it’s nothing serious.,Low
varicocele of the testicles,The pain in my testicles is sharp and prevents me from enjoying everyday activities.,Medium
uterine cancer,The sudden vaginal bleeding feels like a huge red flag to me.,Low
injury to the trunk,The lower body pain I've been feeling is alarming and unrelenting.,Emergency
congenital heart defect,Why is it so hard to get answers about the sharp chest pain I experience daily? What should I do?,High
vulvodynia,The constant cramps leave me feeling hopeless about finding relief anytime soon.,Medium
impetigo,Why do the mouth ulcers from impetigo hurt so much when I try to eat?,Medium
intestinal cancer,"I had diarrhea for days, and it’s not something I expected at my age.",Low
zenker diverticulum,Every meal is a nightmare with my sore throat and chest pain.,High
psychotic disorder,I'm often filled with excessive anger over things that shouldn't bother me.,Medium
stress incontinence,"I've noticed painful urination, and it’s making me anxious about going to the bathroom.",Low
meniere disease,I can’t believe how debilitating the nausea can be during a flare-up.,Medium
hypertrophic obstructive cardiomyopathy (hocm),"Please help, living with HOCM makes everyday activities feel like a risky challenge.",High
nose disorder,"I'm experiencing constant nosebleeds, and I can barely breathe.",Emergency
pityriasis rosea,I just want to wear shorts again without feeling embarrassed about my skin.,Low
malaria,How can malaria make me feel so miserable with this constant headache? Is this serious?,High
kidney disease due to longstanding hypertension,"I thought I'd get used to the fatigue, but it just keeps getting worse.",High
conjunctivitis due to virus,I can’t believe how uncomfortable it is with all this congestion.,Medium
thrombocytopenia,My gums bleed every time I brush my teeth; it’s becoming alarming.,Emergency
paronychia,"My toe is throbbing, and the skin around it looks infected; I can't even wear shoes.",Medium
flat feet,I find it hard to keep up with my kids because my feet hurt so much.,Low
syndrome of inappropriate secretion of adh (siadh),"Sometimes, I feel dizzy for no reason, and it’s really concerning.",Low
sickle cell crisis,"I'm suffering from agonizing leg pain during a crisis, and no one is listening.",Emergency
turner syndrome,I wish people understood how my emotional state greatly affects me daily.,Low
glaucoma,"I'm constantly rubbing my eyes due to the itchiness, but it doesn’t help.",Medium
syringomyelia,"My coordination has deteriorated, and the chronic pain is exhausting. I really need help.",High
presbyopia,"My eyes feel tired, especially when I try to focus on my phone.",Low
carbon monoxide poisoning,I never knew dizziness could make me feel so helpless.,Low
amyotrophic lateral sclerosis (als),I’m tired of the constant leg cramps waking me at night.,Low
guillain barre syndrome,"My hands keep hurting, making everyday tasks frustrating.",Low
alcohol withdrawal,"I'm struggling to stay awake, yet I can't rest without fear.",Emergency
hypothermia,"Lately, i'm feeling very sleepy and my speech is slurred after being in the cold too long.",High
congenital malformation syndrome,"I need help, i can’t stand that my child's diminished hearing limits their friendships and opportunities.",High
thoracic aortic aneurysm,"I’ve been feeling dizzy and pale, and my chest feels constricted.",Emergency
aortic valve disease,Why do I have this persistent pain in my chest that won’t go away?,Emergency
open wound of the chest,"I need help, every time I move, the sharp pain in my chest reminds me I’m in serious trouble.",High
toxic multinodular goiter,"I’ve been feeling more fatigued lately, and it’s really starting to affect my daily life.",Low
liver cancer,I’ve been feeling some discomfort in my upper abdomen lately.,Low
malaria,"Please help, i can’t believe I’m dealing with a lump in my knee just because of malaria.",High
nasal polyp,I can't breathe properly because my nasal congestion is so severe from these polyp growths.,Medium
wilson disease,My persistent cough has become a source of frustration for me.,Low
hydronephrosis,Why am I experiencing such severe suprapubic pain after my diagnosis of hydronephrosis?,Medium
fibromyalgia,I'm scared because the muscle pain has escalated to a whole new level.,Emergency
nasal polyp,"The cough from my post-nasal drip is driving me crazy, and I can’t seem to shake it off.",Medium
carcinoid syndrome,My knee mass is a constant reminder that something isn't right.,Low
tietze syndrome,I’ve never experienced such intense rib pain; I’m worried something's wrong.,Emergency
foreign body in the throat,"My baby just spit up, and I’m worried something is stuck in their throat.",Emergency
intracranial abscess,"Please help, my mood swings have gotten worse; I feel so hopeless and trapped.",High
blepharitis,The pain in my eye is enough to make me want to stay in bed all day.,Medium
primary immunodeficiency,I've missed out on social events because of my arm stiffness.,Low
human immunodeficiency virus infection (hiv),"After my last party, I noticed some odd symptoms and can’t stop worrying about HIV.",Low
impetigo,I can't concentrate at work because the skin rash from impetigo is so distracting.,Medium
bone spur of the calcaneous,I just want to walk without that nagging pain in my foot!,Low
bladder obstruction,My life has been turned upside down because of this bladder obstruction issue.,Medium
presbyacusis,It's frustrating to deal with constant ear pain alongside my hearing loss.,Low
herpangina,Herpangina has me feeling so miserable; I just want to feel normal again.,Medium
shingles (herpes zoster),The facial pain from my shingles is unbearable and keeps me from sleeping.,Emergency
tietze syndrome,I feel like I can't catch my breath; I need immediate help.,Emergency
congenital malformation syndrome,Diminished hearing has made communication so difficult for my child and our family Is this serious?,High
poisoning due to ethylene glycol,I accidentally ingested antifreeze and now I'm feeling very drunk and nauseated; it's really concerning.,High
endometrial hyperplasia,I didn't think I'd have to worry about involuntary urination at this stage of my life.,Low
human immunodeficiency virus infection (hiv),It’s hard to enjoy life when drug abuse makes me fear I could be HIV positive.,Low
retinal detachment,"Lately, I’ve seen strange spots that won't go away, and it’s really worrying me.",Medium
zenker diverticulum,"The neck swelling is noticeable, and I feel like food is always stuck; it's really concerning.",High
endometriosis,It’s so frustrating to deal with heavy menstrual flow and never know when it will hit.,Medium
osteochondroma,Can someone explain why I have this unexplainable skin growth? It seems to be changing color.,Low
personality disorder,I often find myself avoiding situations because of my overwhelming fears and phobias.,Medium
lung cancer,"I thought it was just allergies, but the fatigue won't leave me.",Emergency
presbyopia,I often experience discomfort in my eyes after a long day.,Low
congenital malformation syndrome,"Please help, we’ve tried everything for the gum pain, but nothing seems to help my poor child.",High
lung contusion,I can barely breathe without feeling sharp chest pain.,Emergency
open wound of the head,I can't believe my head wound won't stop throbbing.,Low
hemangioma,It bothers me that the swelling from my hemangioma attracts so much attention.,Medium
primary insomnia,I feel like I'm losing my mind with all this fatigue from insomnia.,Low
epidural hemorrhage,Dizziness makes it hard to enjoy anything these days.,Low
scleroderma,The skin lesions I have are so embarrassing and painful.,Medium
spinal stenosis,I'm scared that my spinal stenosis will worsen and leave me unable to move.,Medium
hypothermia,"The shivering wouldn’t stop, and it left me feeling completely drained and hopeless Is this serious?",High
carpal tunnel syndrome,I've been waking up at night with terrible wrist pain that won't go away.,Medium
hypovolemia,"I’ve lost my appetite completely, and I’m worried about it.",Emergency
pharyngitis,"I feel like I’m constantly clearing my throat, and it's exhausting.",Low
myocarditis,I'm having difficulty breathing and my heart rhythm seems very irregular; it's really concerning.,High
poisoning due to ethylene glycol,I'm having difficulty concentrating and my coordination is very poor.,High
carbon monoxide poisoning,Why do I feel so nauseous? It’s making everyday life unbearable.,Low
sickle cell anemia,It’s hard to explain to friends why I’m always tired from this condition.,Medium
cholecystitis,The combination of nausea and sharp abdominal pain is frightening me.,Emergency
obstructive sleep apnea (osa),"I’m exhausted during the day, and it’s impossible to focus at work.",Emergency
headache after lumbar puncture,The painful urination started right after my lumbar puncture; should I be worried?,Low
dislocation of the foot,"My foot feels unstable, and it makes me nervous.",Low
dislocation of the vertebra,I can’t believe how much my low back pain has worsened lately.,Low
appendicitis,"I started with a mild fever, but now my side pain is excruciating.",Medium
seborrheic keratosis,I can't stand the flaky skin rash that's developed around my seborrheic keratosis lesions.,Medium
cold sore,I can't believe I have another cold sore; it makes my lip swell and is so uncomfortable.,Low
peritonsillar abscess,I'm worried because the swelling in my throat seems to be getting worse.,Low
skin pigmentation disorder,"The warts on my fingers make me feel embarrassed in public, and I want them gone.",Medium
hydronephrosis,I didn’t think hydronephrosis would lead to so much pain in my testicles.,Medium
male genitalia infection,"My scrotum feels tender, and it's affecting my daily activities.",Low
subarachnoid hemorrhage,I’ve never felt this type of headache before; it feels urgent and alarming.,Emergency
onychomycosis,"My toenails have this weird appearance, and it feels like they’re thickening.",Medium
atelectasis,"I’m very dizzy, and the sensation of not being able to breathe is terrifying.",Emergency
encephalitis,My memory is so disturbed lately; I can’t recall even simple things.,Low
pterygium,I’ve been struggling with diminished vision recently; it’s frustrating.,Low
open wound of the chest,"Lately, the chest wound is deep and painful, and my breathing has become labored.",High
scarlet fever,The skin rash on my arms is so itchy; it's driving me nuts!,Low
gastroparesis,"The nausea and vomiting keep me from eating, and I’m losing hope of feeling better.",Emergency
primary insomnia,The anxiety I feel at bedtime just makes my insomnia worse.,Low
adrenal adenoma,"Please help, this back weakness is so debilitating; I can’t do things I used to enjoy.",High
congenital malformation syndrome,The frequency of my child's seizures is overwhelming; I need answers Is this serious?,High
chalazion,I feel like there’s a foreign body in my eye; it's incredibly uncomfortable.,Medium
moyamoya disease,I’ve noticed a decline in my mood that I can’t quite explain.,Low
adhesive capsulitis of the shoulder,"The tightness in my shoulder is limiting my range of motion, and I feel so helpless.",Low
pneumoconiosis,Living with constant shortness of breath has taken a toll on my spirit What should I do?,High
myoclonus,The unpredictability of my seizures makes planning my life almost impossible.,High
congenital heart defect,"I need help, every time I see my fingers stiffening, I can't help but worry about the future of my heart.",High
impetigo,"I'm struggling with nasal congestion, and this impetigo isn’t helping at all.",Medium
frostbite,"I need help, this frostbite is making my whole body feel weak and achy.",High
lymphogranuloma venereum,I can't help but feel anxious about this knee lump; it seems to get bigger every day.,Low
pulmonary congestion,"I can’t catch my breath, and the sharp chest pain is terrifying.",Emergency
abscess of the pharynx,The sudden onset of these symptoms is terrifying; I can barely manage to swallow.,Emergency
fracture of the finger,Just a little bend in my finger hurts way more than I thought it would.,Low
skin cancer,There’s an abnormal patch on my leg that seems to be getting bigger.,Medium
pneumoconiosis,It feels hopeless when my fevers come back every few days Is this serious?,High
floaters,"I keep seeing flashes with those floaters, and it's unsettling.",Low
jaw disorder,It's frustrating to have a neck mass that hurts every time I move my head.,Medium
seasonal allergies (hay fever),I can't enjoy the outdoors because my eyes are watering non-stop.,Medium
diabetic peripheral neuropathy,"Paresthesia makes it hard to concentrate at work, and it’s affecting my performance.",Medium
tietze syndrome,"Every breath feels labored, and my chest is tight like a vice.",Emergency
lymphangitis,"My neck swelling isn't fading, and it’s really concerning me.",Low
cornea infection,The spots in my vision are really bothering me; I need answers.,Medium
myositis,It's hard to stay positive when I have constant headaches.,Low
ovarian torsion,It's frustrating to deal with this unexplained swelling around my skin.,Low
narcolepsy,I hate that my narcolepsy disrupts my life and keeps me from enjoying activities.,Emergency
frostbite,I never expected my toes to hurt so badly from just a little cold What should I do?,High
chronic knee pain,I dread getting out of bed because of the pain in my knees.,Medium
bell palsy,"I feel like my entire face is betraying me, especially during social gatherings.",Medium
spermatocele,"Lately, I’ve been experiencing pain in my testicles that won’t go away.",Low
autonomic nervous system disorder,I don’t know how to deal with this constant leg pain.,Low
prostate cancer,I feel so alone with this constant struggle of bathroom urgency.,Medium
spondylitis,The stiffness all over my body makes mornings unbearable.,Medium
congenital heart defect,"The swelling in my ankles won't go away, and I am struggling to breathe when lying flat.",High
idiopathic infrequent menstruation,The combination of urine retention and sharp pain makes my infrequent periods unbearable.,Low
heart contusion,I wish my emotional state would improve after my heart contusion.,Low
glucocorticoid deficiency,"I need help, why is my child not growing? This glucocorticoid deficiency is so frustrating.",High
pulmonary eosinophilia,I keep having these sharp pains in my chest and can barely catch my breath.,Emergency
open wound of the eye,"Some days, my vision is so clouded that it’s hard to drive safely.",Low
frostbite,"Please help, the pain in my toes is so sharp, I can’t even walk properly.",High
shingles (herpes zoster),The sharp chest pain caught me off guard; I didn’t know shingles could do that.,Emergency
rotator cuff injury,My arm pain flares up every time I try to reach for something.,Low
parasitic disease,"My hands have swollen up, and it's starting to affect my daily activities.",Low
adrenal adenoma,"I can't control my anxiety anymore, my heart races and I sweat constantly without reason; it's really concerning.",High
pulmonic valve disease,The swelling in my legs and feet has gotten much worse recently. I really need help.,High
subarachnoid hemorrhage,The dizziness I've been feeling lately makes me question if I’m having a subarachnoid hemorrhage.,Emergency
myelodysplastic syndrome,My fatigue makes simple tasks feel like a huge challenge.,Low
human immunodeficiency virus infection (hiv),I avoid social gatherings because the fear of HIV keeps gnawing at me.,Low
granuloma inguinale,The lump in my knee is so tender; I can hardly touch it What should I do?,High
chlamydia,My lower abdominal pain seems to get worse every day.,Low
joint effusion,"My ankle pain is persistent, and the swelling is becoming unbearable.",Medium
gastrointestinal hemorrhage,I’m worried my sharp abdominal pain indicates a bigger issue.,Emergency
congenital malformation syndrome,I feel helpless watching my child endure frequent seizures with no clear solution.,High
retinopathy due to high blood pressure,"The pain in my eye comes and goes, but it’s really annoying.",Low
chronic ulcer,"Every time I think my ulcer is healing, the skin pain returns.",Low
urethral disorder,I’ve been dealing with sharp abdominal pains that leave me wondering if I need medical help.,Medium
adjustment reaction,"No matter what I do, I just can't shake this feeling of dread.",Medium
toxic multinodular goiter,"These abnormal involuntary movements make it hard to do simple tasks, like holding a cup.",Low
granuloma inguinale,"I need help, i’ve never felt such sharp pain in my chest; it’s terrifying.",High
adrenal adenoma,"My skin bruises easily now, and I've noticed purple stretch marks appearing.",High
malaria,I’m losing hope—this fever from malaria just won’t go away Is this serious?,High
acute kidney injury,"I've been retaining urine for days, and now I’m short of breath too.",Emergency
neurosis,"My compulsive behaviors are out of control, and I feel trapped in a cycle I can't escape.",Medium
acute kidney injury,"The retention of urine is frightening, especially with these symptoms of weakness.",Emergency
alcohol intoxication,My friends say I’m acting really weird and moving oddly when I drink.,Emergency
wilson disease,"Lately, I feel like I can't escape this overwhelming sense of fatigue.",Low
restless leg syndrome,I can't get a good night's sleep because my legs feel so restless.,Medium
ganglion cyst,"The lump in my hand keeps throbbing, making it difficult to type for long periods.",Medium
tinnitus of unknown cause,I wish someone could explain why I’m dizzy all the time.,Medium
poisoning due to ethylene glycol,I thought antifreeze was just a chemical; now I'm battling severe depressive thoughts.,High
impetigo,The skin lesions from this impetigo are so painful; I can't even wear my favorite shirt.,Medium
appendicitis,The vomiting episodes have left me feeling weak and exhausted.,Medium
congenital malformation syndrome,The frequency of my child's seizures is overwhelming; I need answers.,High
osteoarthritis,I never thought I'd feel this much leg pain at my age; it's exhausting.,Medium
septic arthritis,I never imagined a fever could come with such intense leg pain.,Low
lymphedema,The fluid retention makes it difficult to find pants that fit comfortably.,Medium
hypokalemia,"I can't breathe properly, which makes every minute feel like an eternity.",Emergency
aphthous ulcer,Why does my cough get worse with these annoying mouth ulcers?,Medium
bone disorder,"My knees ache after any kind of physical activity, which is frustrating.",Low
granuloma inguinale,"I need help, i'm terrified that my sharp chest pain could lead to something worse.",High
pelvic organ prolapse,I’m scared the vaginal pain means something serious is wrong.,Medium
abscess of the lung,"Lately, i can't stop coughing up this disgusting sputum, and my fever won't break even with medication.",High
broken tooth,I have a broken tooth that's causing me a persistent toothache.,Low
hyperopia,It’s hard to concentrate when I’m constantly adjusting my glasses.,Low
intracranial abscess,The neck stiffness and severe headache are making it impossible to function. I really need help.,High
drug abuse (opioids),"My friends say I'm delusional, but I can't see how the drugs are affecting me.",Medium
head injury,The headache makes it hard to concentrate or do anything.,Emergency
head and neck cancer,"I've been struggling with a hoarse voice for weeks, and it worries me.",Medium
spina bifida,I just want my memory to be as sharp as it used to be.,Low
ear wax impaction,"My ear hurts when I pull at it, and I just want relief.",Medium
spinocerebellar ataxia,My abnormal involuntary movements make me feel embarrassed in public settings.,Low
mucositis,This mucositis is ruining my ability to enjoy food again.,Medium
osteochondroma,"My lower abdomen has been aching, and I can't shake the feeling that something's off.",Low
congenital malformation syndrome,"Lately, the developmental delays are concerning, and now there are new symptoms appearing.",High
presbyopia,"My eyelids seem to twitch sometimes, which is really distracting.",Low
dislocation of the shoulder,The pain in my shoulder is making everything more difficult right now.,Low
dislocation of the ankle,I can't believe how much pain I'm in after my ankle dislocation.,Low
cryptococcosis,I wish more people understood how debilitating cryptococcosis can be.,Low
osteoporosis,Why do my bones feel so painful lately? It's exhausting.,Medium
prostatitis,"My doctor said it might be prostatitis, but the symptoms are overwhelming.",Medium
magnesium deficiency,"I thought I was just tired, but this leg pain is seriously debilitating.",Emergency
metabolic disorder,"Sometimes, I wake up and notice slight jaundice in the mirror; it worries me.",Low
iridocyclitis,The sensation of something in my eye is so irritating; I need relief fast.,Medium
atrophy of the corpus cavernosum,Frequent urination interrupts my workday; it's becoming unbearable.,Low
brain cancer,"I woke up today with severe headaches, and I can’t think clearly anymore.",Emergency
drug poisoning due to medication,"My speech has become slurred lately, and I’m worried it’s the medication.",Low
lyme disease,"I've never had skin problems before, but now I have these odd patches.",Low
yeast infection,This yeast infection is making me feel so self-conscious about my body.,Medium
vertebrobasilar insufficiency,I'm having trouble swallowing and my balance is severely compromised.,High
arrhythmia,"Every time I tried to relax, sharp chest pain shot through me.",Emergency
malaria,"I need help, this fever is unbearable; I just want my life back from malaria.",High
spondylosis,"Sometimes I lose sensation in my feet, and it scares me to think about what that means.",Medium
fungal infection of the hair,I can't believe how rough my hair has become since this fungal infection started.,Medium
nose disorder,I'm feeling dizzy from difficulty breathing and unbearable ear pain.,Emergency
flat feet,The pain in my feet seems to worsen whenever I wear certain shoes.,Low
alzheimer disease,It’s frustrating when I know what I want to say but can’t get it out.,Medium
indigestion,"This burning sensation in my stomach doesn’t go away, and I'm really worried about my health.",Emergency
hypothyroidism,Why is it so hard to lose weight when I’m eating right?,Low
aspergillosis,The knee lump that appeared suddenly has me really worried about aspergillosis.,High
gonorrhea,Is it normal to have such a weird vaginal discharge?,Low
drug abuse,"My delusions are getting worse, and I can’t figure out if it's the drugs or me.",Medium
postpartum depression,"Some days, I’m so depressed I barely have the energy to care for my baby.",Medium
conductive hearing loss,I constantly feel like I’m missing out because of my hearing issues.,Medium
teething syndrome,I can’t believe how much temper my toddler has lately; is this just teething?,Medium
fracture of the skull,"After the fracture, I can’t handle much noise; it makes my headache worse.",Low
