disease,text,risk_level
seasonal allergies (hay fever),Why does my ear feel clogged? Allergies are making it unbearable!,Low
chronic sinusitis,"Every time I think I'm improving, the sinus congestion comes back with a vengeance.",Medium
congenital heart defect,I'm constantly fatigued and can't keep up with my friends during normal activities. I really need help.,High
dengue fever,I never expected dengue fever to cause such persistent wrist pain.,Medium
poisoning due to ethylene glycol,"Lately, my breathing has become labored since ingesting the substance accidentally.",Emergency
appendicitis,There’s an odd discomfort near my lower abdomen that just doesn’t let up.,High
leukemia,"I feel exhausted all the time, and it's frustrating to see others carry on.",Medium
kidney disease due to longstanding hypertension,"I'm urinating much less than usual, and I feel exhausted and weak constantly.",High
intracranial hemorrhage,I woke up with a pounding headache and now I can’t stop shaking.,Emergency
common cold,It’s not just the cold; now I’m dealing with an ear infection too!,Low
cardiomyopathy,"I'm struggling to breathe, and my chest feels tight every time I move.",High
open wound of the knee,"Every time I walk, I feel a sharp pain in my knee.",Medium
intracranial hemorrhage,"My vision is getting worse, and I can't stop vomiting.",Emergency
poisoning due to antipsychotics,I can’t tell what’s real anymore; the poison in these meds is strong.,Emergency
kaposi sarcoma,Kaposi sarcoma isn't just physical; my mental health is suffering too.,Medium
hypothermia,I'm confused and having trouble thinking clearly; everything feels slow and cold. I really need help.,High
sepsis,Nothing prepared me for the overwhelming shortness of breath I experienced.,Emergency
vitamin d deficiency,I can’t handle this arm tightness much longer; it’s affecting my routine.,Medium
heart failure,I just need help because my body feels so weak and unable to keep up.,High
poisoning due to antipsychotics,"Lately, the muscle stiffness is severe, and I feel extremely confused and agitated.",Emergency
poisoning due to anticonvulsants,The depression hit me hard after I began the anticonvulsant treatment.,Emergency
ovarian cancer,"Recently, I noticed a groin mass and it’s making me anxious.",High
poisoning due to ethylene glycol,I'm experiencing severe nausea and my vision seems blurry since the ingestion.,Emergency
necrotizing fasciitis,The sudden elbow weakness is making it hard to lift anything.,Medium
bell palsy,Can someone explain why my headaches seem to worsen in the afternoon?,High
poisoning due to antimicrobial drugs,"My breathing is rapid and shallow, and I've been on the antibiotic for just a few days.",Emergency
pneumothorax,This shortness of breath is the worst I've ever experienced.,Emergency
liver cancer,I noticed a mass in my groin area that won’t seem to disappear.,High
congenital heart defect,"Lately, the heart palpitations are getting more frequent and intense; I can feel my heart skipping beats.",High
sprain or strain,I can’t sleep well because the arm pain keeps waking me up.,Medium
tuberculosis,"Lately, my cough has lasted months, and the fatigue is making it hard to function.",Medium
poisoning due to antipsychotics,Every dose feels like a poison; the sharp chest pain is unbearable.,Emergency
septic arthritis,"Every time I try to walk, my knee hurts more than ever.",Medium
hemiplegia,"My speech gets stuck, and I end up frustrated trying to communicate.",Emergency
conduct disorder,It’s heartbreaking to see him so depressed; he doesn’t even want to play anymore.,Medium
subarachnoid hemorrhage,"Every time I stand up, the dizziness makes me feel like I might just collapse.",Emergency
poisoning due to antipsychotics,"I can't control my movements properly, and my temperature is rising dangerously; it's really concerning.",Emergency
common cold,All these symptoms combined are really making it hard to focus on anything.,Low
poisoning due to antipsychotics,These antipsychotics have poisoned my mind with terrifying delusions.,Emergency
poisoning due to ethylene glycol,I thought antifreeze was just a chemical; now I'm battling severe depressive thoughts.,Emergency
vertebrobasilar insufficiency,I'm having trouble swallowing and my balance is severely compromised; it's really concerning.,High
burn,I can't shake this annoying wrist pain from a minor burn I had last month.,Low
premature ovarian failure,The absence of menstruation has left me feeling confused and anxious.,High
vitamin b12 deficiency,I keep getting these hot flashes; they catch me completely off guard.,Medium
common cold,I've been dealing with a sore throat and it just won't go away.,Low
intracerebral hemorrhage,I've been feeling such intense headaches that it's hard to function.,Emergency
high blood pressure,I'm having difficulty breathing and my blood pressure is extremely elevated; it's really concerning.,High
seasonal allergies (hay fever),The constant cough from my allergies is driving me crazy.,Low
high blood pressure,Every spike in my blood pressure brings a new level of chest pain I can't ignore.,High
vulvar cancer,Can anyone else relate to sleepless nights due to vulvar cancer? It’s relentless.,High
skin disorder,The abnormal appearing skin on my arms hasn’t improved despite trying multiple creams.,Medium
dyshidrosis,I’m really frustrated with the skin rash that just won’t go away.,Medium
coronary atherosclerosis,Why am I experiencing such severe chest tightness out of the blue?,Medium
kidney disease due to longstanding hypertension,"I can barely produce urine, and the swelling throughout my body is alarming; it's really concerning.",High
sepsis,"I was so fatigued and weak, I thought I might collapse any moment.",Emergency
subarachnoid hemorrhage,"I noticed a loss of sensation in my leg, and it has me feeling very anxious today.",Emergency
sprain or strain,My wrist pain makes it hard to do even simple tasks.,Medium
epidural hemorrhage,I feel so disoriented and dizzy all the time now.,Emergency
primary kidney disease,The constant discomfort from my kidney symptoms is hard to manage.,High
burn,I'm frustrated with the persistent swelling in my wrist from my cooking accident.,Low
seasonal allergies (hay fever),I didn't sign up for this constant itchiness of my eyes!,Low
herniated disk,I’m frustrated by the persistent low back pain that won’t go away.,Medium
vertebrobasilar insufficiency,"Lately, the dizziness makes it unsafe for me to drive or even walk alone.",High
typhoid fever,Wrist pain has turned my mild fever into a major obstacle.,Medium
urinary tract obstruction,Why do I have to wake up multiple times at night to urinate?,Medium
pneumothorax,Why does breathing make my chest feel so tight?,Emergency
common cold,It’s not just the cold; now I’m dealing with an ear infection too!,Low
subarachnoid hemorrhage,"I noticed a loss of sensation in my leg, and it has me feeling very anxious today.",Emergency
poisoning due to antipsychotics,"I can't control my movements properly, and my temperature is rising dangerously. I really need help.",Emergency
connective tissue disorder,"My joints ache every morning, and it really makes getting out of bed a struggle.",Medium
insect bite,My hand has started swelling since that insect bite; I didn’t expect this reaction.,Low
seasonal allergies (hay fever),I wish I could breathe easily; this coryza is exhausting me.,Low
stomach cancer,I can't believe how often I'm feeling nauseous lately; it’s so annoying.,High
epidural hemorrhage,I didn’t expect to feel so emotionally unstable after my epidural.,Emergency
poisoning due to sedatives,I’m worried about how my behavior has changed since I took these sedatives.,Emergency
pyloric stenosis,The cough and vomiting combination has me really on edge.,Medium
poisoning due to ethylene glycol,I am having difficulty concentrating and my coordination is very poor.,Emergency
aspergillosis,I’m terrified of what the shortness of breath might mean for my health long-term.,High
parkinson disease,My tremors are embarrassing and make it hard to hold a cup without spilling.,High
crushing injury,"I’ve been dealing with persistent finger pain since my injury, and it’s so frustrating.",Medium
polymyalgia rheumatica,Shoulder pain has left me helpless; I can’t even brush my hair.,Medium
metastatic cancer,"The neck mass feels strange, and it’s making me anxious about my health.",High
bone cancer,I can’t walk without discomfort; this pain is unbearable.,High
poisoning due to antipsychotics,I can’t tell what’s real anymore; the poison in these meds is strong.,Emergency
common cold,I've been dealing with a sore throat and it just won't go away.,Low
restless leg syndrome,The fatigue from restless legs makes it hard to enjoy anything during the day.,Medium
seasonal allergies (hay fever),The pollen is so bad; I'm feeling miserable with nasal congestion.,Low
common cold,This flu-like syndrome is exhausting; I just want to feel like myself again.,Low
huntington disease,I've noticed my anxiety spikes whenever I think about my family history.,High
chickenpox,Itching from the skin rash is driving me absolutely crazy right now.,Medium
seasonal allergies (hay fever),I didn't sign up for this constant itchiness of my eyes!,Low
stroke,"I kept forgetting what I wanted to say, and it was so frustrating.",Emergency
tonsillar hypertrophy,I've been having a hard time sleeping; my tonsils feel like they’re blocking my throat.,Medium
malaria,"I am having severe sweating episodes after the chills pass, and I feel utterly drained.",High
insect bite,This itching from an insect bite is keeping me up at night; I need relief!,Low
open wound of the foot,"My foot has been swelling, and the open wound isn't getting any better.",Medium
abscess of the lung,"The sharp pain in my chest when I breathe is getting worse, and I am sweating through my clothes at night.",High
poisoning due to antihypertensives,Could my antihypertensives be causing this odd sharp abdominal pain?,Emergency
vertebrobasilar insufficiency,"Back pain is ruining my sleep, and I’m not sure what to do.",High
foreign body in the eye,I woke up with excessive lacrimation and can't shake this feeling like something's stuck.,Medium
common cold,I woke up with a headache that feels like a vice grip on my skull.,Low
insulin overdose,My mood swings have been unbearable since I took too much insulin.,Emergency
burn,My knee pain after that brief burn from the grill is really inconvenient.,Low
congenital heart defect,"My exercise tolerance has dropped dramatically, and I feel dizzy after minimal effort. I really need help.",High
insect bite,The swelling in my finger from an insect bite makes it hard to type at work.,Low
hypertrophic obstructive cardiomyopathy (hocm),My heart races suddenly and I feel like I might pass out; the palpitations are terrifying. I really need help.,High
ectropion,"Lately, I've been dealing with persistent lacrimation that never seems to stop.",Medium
premature ovarian failure,I feel overwhelmed by the unexpected changes in my body.,High
hypertrophic obstructive cardiomyopathy (hocm),"Lately, i've been having episodes where my heart races uncontrollably and I nearly black out.",High
common cold,I didn’t expect nausea along with a cold; it’s really throwing me off.,Low
pneumoconiosis,"Every time I exert myself, I feel faint and struggle to recover.",High
intracranial hemorrhage,I had no idea a headache could lead to such serious symptoms so quickly.,Emergency
malaria,"I can barely keep water down, and the fever and chills are relentless.",High
common cold,Sometimes I feel like I can’t catch my breath from all this wheezing.,Low
high blood pressure,"The headaches are severe and persistent, and I'm seeing spots in my vision; it's really concerning.",High
hypothermia,"After getting cold, I fainted unexpectedly, which really scared me and my family.",High
poisoning due to anticonvulsants,I’ve been feeling really dizzy after starting my new anticonvulsant medication.,Emergency
seasonal allergies (hay fever),These allergy symptoms are affecting my work and daily life.,Low
acne,I’ve been dealing with swelling and painful acne that just won’t go away.,Low
congenital heart defect,I've been getting increasingly short of breath during activities that never bothered me before. I really need help.,High
essential tremor,"Lately, I've noticed a disturbance of memory that worries me.",Medium
kidney failure,The sharp chest pain feels like a weight pressing down; I really need help.,High
pseudotumor cerebri,"Dizziness and headaches have become part of my daily life, and it's frustrating.",High
seasonal allergies (hay fever),I didn't sign up for this constant itchiness of my eyes!,Low
balanitis,Waking up with the pain in my penis is ruining my sleep.,Medium
peripheral arterial embolism,My legs look so strange; is it just me or something more?,Medium
common cold,Why do I feel like my head is in a fog with this cold?,Low
heart attack,I never expected the heartburn to feel so painful and alarming.,Emergency
parkinson disease,"My speech is slurred, and it’s hard for friends to understand me now.",High
g6pd enzyme deficiency,The constant emotional rollercoaster is really impacting my daily life.,Medium
insect bite,"The itching from this insect bite is unbearable, and I'm tired of scratching.",Low
idiopathic infrequent menstruation,"My infrequent menstruation is really frustrating, especially with the nausea that comes with it.",Medium
cranial nerve palsy,"Facial pain can hit out of nowhere, and it really disrupts my day.",High
amyotrophic lateral sclerosis (als),I’m tired of the constant leg cramps waking me at night.,High
atrophic skin condition,I have pimples popping up in places where I’ve never had them before.,Medium
acne,The acne on my scalp is not only embarrassing but also really itchy.,Low
frostbite,The sharp pain in my chest is unbearable; I'm scared it's frostbite.,Medium
subarachnoid hemorrhage,I woke up with a headache so bad it felt like my skull was splitting open.,Emergency
bladder cancer,I'm worried about the frequent urge to urinate at night; it's exhausting.,High
vertebrobasilar insufficiency,"Lately, my balance is completely off, and I feel like I might fall at any moment.",High
balanitis,Why does this diaper rash-like irritation keep bothering me?,Medium
common cold,All these symptoms combined are really making it hard to focus on anything.,Low
subdural hemorrhage,I worry a lot about my headaches; they leave me feeling helpless.,Emergency
insect bite,"The itching from this insect bite is unbearable, and I'm tired of scratching.",Low
seasonal allergies (hay fever),I can't enjoy the outdoors because my eyes are watering non-stop.,Low
vaginal yeast infection,I never thought I’d be dealing with lower abdominal pain like this.,Medium
injury to the spinal cord,"Every time I bend down, my back pain flares up unexpectedly.",Medium
poisoning due to opioids,"I find myself digging deeper into the prescription, and I’m scared of what I’m doing.",Emergency
poisoning due to antipsychotics,These medications turned my life into a nightmare of constant nervousness.,Emergency
common cold,All these symptoms combined are really making it hard to focus on anything.,Low
vulvar cancer,These emotional symptoms are really hindering my ability to enjoy life with vulvar cancer.,High
poisoning due to antipsychotics,"Lately, i feel extremely sedated and my blood pressure seems very low.",Emergency
amyotrophic lateral sclerosis (als),The involuntary movements really make me self-conscious in public.,High
common cold,The chills keep coming and going; I can't get comfortable at all.,Low
congenital heart defect,"Lately, the heart palpitations are getting more frequent and intense; I can feel my heart skipping beats.",High
poisoning due to opioids,The opioids have left me feeling more anxious than relieved; it’s really concerning.,Emergency
common cold,I started feeling nauseous after days of this cold; is that normal?,Low
concussion,My back pain is unbearable; it’s adding to my concussion symptoms.,Medium
bladder cancer,Excessive nighttime urination is ruining my sleep; I need answers.,High
cerebral palsy,It’s heartbreaking to see my daughter struggle with feeding; she cries every meal.,High
kidney disease due to longstanding hypertension,I can't believe how dizzy I feel; is this really from my kidneys?,High
hypothermia,"Lately, i feel extremely drowsy and my heart rate seems slow after being exposed to the cold.",High
pseudotumor cerebri,"Lately, I’ve been feeling a lot of pressure in my head.",High
cervical cancer,I never expected to notice jaundice; it’s really caught me off guard.,High
colorectal cancer,"My abdomen has been in sharp pain, and I don't know why it started.",High
insect bite,"I've been dealing with this skin swelling from a bug bite for days, and I’m over it.",Low
poisoning due to ethylene glycol,I can't stop thinking about the antifreeze and how it led to these depressive states.,Emergency
poisoning due to antihypertensives,I feel mentally foggy and weak since starting my new blood pressure meds.,Emergency
burn,My wrist feels swollen after I burned it while cooking last week.,Low
congenital heart defect,"My lips and fingernails turn bluish when I exert myself, and I feel faint; it's really concerning.",High
poisoning due to ethylene glycol,The headache is severe and I feel extremely drowsy after the accidental ingestion. I really need help.,Emergency
malignant hypertension,"My insomnia is out of control, and the pain in my legs is worsening.",Emergency
aspergillosis,"I have been wheezing for weeks, and my asthma medications aren't helping anymore.",High
hypothermia,"My body temperature is dangerously low, and I can't stop shivering violently. I really need help.",High
intracranial hemorrhage,I can’t believe how quickly I went from fine to vomiting and unable to see properly.,Emergency
diabetic ketoacidosis,I had frequent urination that kept me up all night.,Emergency
pancreatic cancer,It’s concerning when a simple meal leads to such intense abdominal pain.,High
acne,The acne on my scalp is not only embarrassing but also really itchy.,Low
poisoning due to antipsychotics,The sharp chest pain I experienced made me panic even more.,Emergency
common cold,Why do I feel like my head is in a fog with this cold?,Low
high blood pressure,"The nosebleeds are happening frequently, and my blood pressure is spiking dangerously; it's really concerning.",High
open wound of the chest,I can’t bear the sharp chest pain anymore; it’s unbearable and makes it hard to breathe.,Medium
intracranial abscess,"I'm feeling confused and nauseous, and the pain in my head is excruciating. I really need help.",Medium
poisoning due to antihypertensives,I don't know why my stomach hurts so much since I started those meds.,Emergency
huntington disease,"I've been feeling a lot more anxious lately, and it's really hard to manage.",High
poisoning due to ethylene glycol,The headache is severe and I feel extremely drowsy after the accidental ingestion. I really need help.,Emergency
poisoning due to antidepressants,My friends say I’m more withdrawn since I started my treatment.,Emergency
seasonal allergies (hay fever),My throat is sore from all the postnasal drip this season.,Low
poisoning due to antipsychotics,The rigidity in my body and altered mental state have me very worried. I really need help.,Emergency
poisoning due to antidepressants,These antidepressants have made me crave alcohol more than usual.,Emergency
malaria,I've been vomiting and the high fever keeps cycling back every few hours. I really need help.,High
insect bite,"I've been dealing with this skin swelling from a bug bite for days, and I’m over it.",Low
subarachnoid hemorrhage,"I can't shake off this intense headache, and it feels like something is really wrong.",Emergency
fibrocystic breast disease,"Each month, the tenderness in my breasts makes it tough to wear a regular bra.",Medium
hypothermia,"My mood dropped dramatically, and I felt an overwhelming sense of despair in the cold.",High
tuberculosis,"I have had a persistent cough for weeks, and now I am coughing up blood.",Medium
poisoning due to antipsychotics,I can't shake off the delusions; it's terrifying and exhausting.,Emergency
epidural hemorrhage,I can’t shake this feeling of sadness that started after my epidural.,Emergency
pulmonic valve disease,The fatigue and exercise intolerance are significantly impacting my quality of life. I really need help.,Medium
alcoholic liver disease,"Weight gain has been frustrating, especially after a weekend of drinking.",High
tonsillitis,It’s so frustrating to deal with the constant pain in my throat.,Medium
burn,The burn on my finger makes typing really uncomfortable and slows me down.,Low
heart block,I woke up this morning with significant swelling in my legs.,Emergency
seasonal allergies (hay fever),Why does my ear feel clogged? Allergies are making it unbearable!,Low
common cold,I started feeling nauseous after days of this cold; is that normal?,Low
seasonal allergies (hay fever),Why does my face hurt? Allergy pressure is ruining my day.,Low
acne,Why does my acne have to come with such dry and flaky skin?,Low
cervical cancer,Heavier menstrual periods this cycle have left me feeling drained and worried.,High
poisoning due to antipsychotics,"Lately, the involuntary muscle movements are frightening, and I feel very unwell.",Emergency
vesicoureteral reflux,"The fever came out of nowhere, and I can’t shake this feeling of unease.",Medium
acne,The roughness of my skin is making my acne even more noticeable.,Low
acne,I’ve been dealing with swelling and painful acne that just won’t go away.,Low
poisoning due to analgesics,The analgesics have made me feel so depressed; I hope it passes soon.,Emergency
sepsis,"After feeling ill for days, the sudden abdominal pain scared me into action.",Emergency
seasonal allergies (hay fever),"I can’t stop sneezing, and my nose feels completely stuffed up.",Low
malaria,"Lately, my body aches all over and the high fever makes me delirious at times.",High
acne,These persistent pimples have left my skin feeling uneven and rough.,Low
leukemia,"I've been feeling unusually fatigued lately, and it’s really hard to keep up with my daily routine.",Medium
congenital heart defect,"Lately, the swelling in my ankles won't go away, and I'm struggling to breathe when lying flat.",High
pancreatic cancer,"The nausea creeps up on me out of nowhere, affecting my daily routine.",High
abscess of the pharynx,The difficulty swallowing is really alarming; I'm worried something serious is happening.,Medium
insect bite,I noticed some abnormal appearing skin after being bitten; I hope it goes away soon.,Low
cardiomyopathy,I've noticed my feet and hands are puffy; it’s really unnerving me.,High
high blood pressure,I'm having difficulty breathing and my blood pressure is extremely elevated. I really need help.,High
seasonal allergies (hay fever),"My throat is raw from coughing, and I feel so frustrated.",Low
insect bite,I can’t believe how much fluid retention I have after that insect bite on my ankle.,Low
seasonal allergies (hay fever),"Just when I think I’m better, another wave of sneezing hits me.",Low
lung cancer,I can't catch my breath no matter how hard I try.,High
drug poisoning due to medication,I’m worried about how much I’ve been relying on alcohol lately.,Emergency
eustachian tube dysfunction (ear disorder),"I've been battling ear pain, and nothing seems to help.",Medium
acute respiratory distress syndrome (ards),Nothing I do eases the sharp pain in my chest.,Emergency
insect bite,My hand has started swelling since that insect bite; I didn’t expect this reaction.,Low
vertebrobasilar insufficiency,I'm having episodes of severe dizziness and double vision that terrify me. I really need help.,High
autism,"It breaks my heart seeing him isolated with his antisocial behavior, unable to connect with others.",Medium
congenital malformation syndrome,"Multiple health issues keep arising, and it's exhausting trying to manage them all. I really need help.",Medium
acne,I can’t believe how dry my skin is while I’m battling these pimples.,Low
malaria,"Lately, the fatigue is overwhelming, and my muscles ache like I've run a marathon.",High
poisoning due to antihypertensives,"I’m struggling with depression, and I suspect it's from my blood pressure pills.",Emergency
poisoning due to antidepressants,I’m experiencing emotional lows that I thought antidepressants would fix.,Emergency
pulmonary embolism,I woke up drenched in sweat and suddenly couldn't breathe well.,Emergency
intussusception,"I’ve been feeling sharp abdominal pain, and it’s really concerning me.",Medium
ovarian cancer,The sharp pain in my abdomen caught me off guard; I need to see a doctor.,High
acne,Having moles that get irritated by acne is driving me insane.,Low
poisoning due to antihypertensives,Why do I feel so weak after taking these medications?,Emergency
seasonal allergies (hay fever),Every morning I wake up with a horrible headache from my allergies.,Low
tooth disorder,"I can't shake this relentless toothache, and it’s driving me insane.",Medium
polycystic kidney disease,I wish my doctor could do more about these worsening kidney masses I'm feeling.,High
kidney disease due to longstanding hypertension,"My blood pressure has been uncontrolled for years, and now my kidneys are suffering. I really need help.",High
cardiac arrest,I felt like I was suffocating with an irregular heartbeat.,Emergency
panic attack,The intense pressure in my chest made me feel like I was trapped.,Medium
drug abuse (methamphetamine),Trying to quit has left me so anxious; I can’t deal with the withdrawal symptoms.,Medium
intracranial abscess,The persistent fever and worsening headache have me extremely worried. I really need help.,Medium
burn,I thought the skin irritation from my burn would heal faster; it's quite annoying.,Low
lumbago,I feel constant cramps in my lower back that just won't go away.,Medium
epidural hemorrhage,I’ve been feeling really dizzy since the procedure; it’s concerning.,Emergency
asthma,"I'm struggling to breathe and my chest feels tight, it’s terrifying.",Medium
zenker diverticulum,"Lately, the gurgling sounds in my throat are embarrassing, and I choke frequently.",Medium
common cold,This flu-like syndrome is exhausting; I just want to feel like myself again.,Low
poisoning due to antipsychotics,I am experiencing severe drowsiness and confusion after a medication error.,Emergency
aspergillosis,"The blood in my sputum is terrifying, and I cannot take a deep breath without pain.",High
post-traumatic stress disorder (ptsd),I can't shake off my anxiety even when I'm supposed to relax.,Medium
skin cancer,I’m really anxious about the changes I see in my moles lately.,High
epidural hemorrhage,The emotional rollercoaster is overwhelming since my epidural.,Emergency
cranial nerve palsy,"Lately, I’ve been experiencing persistent facial pain that won’t go away.",High
anemia due to malignancy,"I'm so exhausted I can barely get through the day, and I look pale as a ghost; it's really concerning.",Medium
drug poisoning due to medication,"My speech has become slurred lately, and I’m worried it’s the medication.",Emergency
esophageal varices,I’m experiencing nausea every time I think about my ongoing treatment for varices.,Medium
acne,My face has been such a mess with these painful pimples and swelling.,Low
acne,My face has been such a mess with these painful pimples and swelling.,Low
muscular dystrophy,I can’t shake off this feeling of constant fatigue; it’s draining.,Medium
poisoning due to ethylene glycol,I accidentally ingested antifreeze and now I am feeling very drunk and nauseated.,Emergency
seasonal allergies (hay fever),These allergy symptoms are affecting my work and daily life.,Low
poisoning due to gas,I woke up feeling dizzy and couldn't catch my breath after smelling that gas.,Emergency
conversion disorder,I'm tired of feeling invisible; my pain and struggles are very real.,Medium
seasonal allergies (hay fever),"My throat is raw from coughing, and I feel so frustrated.",Low
poisoning due to ethylene glycol,My breathing has become labored since ingesting the substance accidentally. I really need help.,Emergency
seasonal allergies (hay fever),I can't enjoy the outdoors because my eyes are watering non-stop.,Low
dislocation of the vertebra,I still feel a dull ache in my neck from the dislocated vertebra.,Medium
sepsis,I couldn't catch my breath and felt so weak; I knew something was wrong.,Emergency
bladder cancer,Why isn't there more support for those of us dealing with bladder concerns?,High
poisoning due to analgesics,I’m worried my cravings for alcohol have increased since I started these meds.,Emergency
insect bite,The swelling in my finger from an insect bite makes it hard to type at work.,Low
adrenal cancer,"My diminished hearing feels like it’s getting worse, and I don’t know why.",High
hemiplegia,I'm having severe headaches that make it hard to focus or move.,Emergency
hypothermia,"My body temperature is dangerously low, and I can't stop shivering violently.",High
insect bite,I noticed some abnormal appearing skin after being bitten; I hope it goes away soon.,Low
burn,I can't shake this annoying wrist pain from a minor burn I had last month.,Low
aspergillosis,"My chest feels tight constantly, and I'm running a low-grade fever that won't quit; it's really concerning.",High
nerve impingement near the shoulder,My shoulder pain sometimes makes it impossible to concentrate at work.,Medium
burn,I didn't think a small burn could cause such irritating hand swelling.,Low
poisoning due to analgesics,The painkillers seem to be affecting my mood negatively; I’m feeling low.,Emergency
insect bite,"After getting bitten, my lip swelled up like a balloon; it's so embarrassing.",Low
pneumoconiosis,I can barely breathe after just a few minutes of activity.,High
poisoning due to opioids,I feel like I'm losing myself to these pills; I didn’t expect this emotional toll.,Emergency
poisoning due to antipsychotics,"The muscle stiffness is severe, and I feel extremely confused and agitated. I really need help.",Emergency
heart block,"One minute I was fine, the next I was dizzy and fainting.",Emergency
decubitus ulcer,I’m worried about the skin on my leg; it looks like it could become infected.,Medium
pancreatic cancer,"The nausea creeps up on me out of nowhere, affecting my daily routine.",High
malaria,I woke up with a fever so high I thought I was dreaming.,High
common cold,"This cough is driving me crazy, especially at night when I try to sleep.",Low
aspergillosis,I can feel something is wrong in my lungs; the pain and breathlessness are getting worse.,High
cerebral palsy,"She can’t communicate, and it’s distressing to think about what she might be feeling.",High
mastectomy,Why didn’t anyone mention the skin swelling could last this long?,Medium
common cold,The constant coughing is making my throat even sorer; it's so frustrating.,Low
acne,Having moles that get irritated by acne is driving me insane.,Low
insect bite,The swelling in my finger from an insect bite makes it hard to type at work.,Low
injury to the spinal cord,Neck pain from my injury has limited my ability to turn my head.,Medium
cataract,"Glaring lights hurt my eyes, especially when I try to drive at night.",Medium
acne,I’ve been dealing with swelling and painful acne that just won’t go away.,Low
endometrial cancer,Intermenstrual bleeding has left me feeling helpless and confused about my health.,High
poisoning due to ethylene glycol,I'm experiencing severe nausea and my vision seems blurry since the ingestion.,Emergency
deep vein thrombosis (dvt),"My leg has been feeling unusually heavy, and it's concerning.",High
zenker diverticulum,"I can feel a lump in my throat, and eating has become a dreaded experience. I really need help.",Medium
subconjunctival hemorrhage,"My eye feels irritated and sore, making it hard to concentrate.",Emergency
white blood cell disease,I feel like I’m constantly battling chills and fatigue with this white blood cell disease.,Medium
diabetic ketoacidosis,Waking up in the middle of the night to pee is exhausting.,Emergency
congenital heart defect,I've been experiencing chest pain and irregular heartbeats that worry me constantly. I really need help.,High
frostbite,I didn’t realize frostbite would cause such intense pain in my chest.,Medium
acne,My face has been such a mess with these painful pimples and swelling.,Low
seasonal allergies (hay fever),The constant cough from my allergies is driving me crazy.,Low
diabetic kidney disease,I feel like I'm battling multiple issues with my diabetic kidney disease and impotence.,High
high blood pressure,"The headaches are severe and persistent, and I'm seeing spots in my vision; it's really concerning.",High
acute stress reaction,I can't breathe properly and feel this overwhelming anxiety taking over me.,Medium
acne,I’m overwhelmed by how swollen my face gets during my menstrual cycle.,Low
poisoning due to antipsychotics,I've taken too much medication and my muscles are becoming extremely rigid; it's really concerning.,Emergency
panic disorder,"Panic hits me out of nowhere, making me feel utterly helpless and alone.",Medium
subarachnoid hemorrhage,"My vision has been blurry, and I’m worried that it could indicate a more serious problem.",Emergency
heat stroke,"It was just a short run, but I felt really dizzy afterward.",Emergency
endometrial cancer,The hot flashes have started making me feel like I’m losing control of my body.,High
heart contusion,It's disheartening to feel weak in my elbow while recovering.,High
common cold,I've been dealing with a sore throat and it just won't go away.,Low
mittelschmerz,I wish I could find a remedy for this annoying lower abdominal pain.,Medium
heart failure,"I'm gaining weight rapidly, and it feels like my body is retaining so much fluid.",High
vitreous hemorrhage,It's frustrating to deal with blurred vision when I’m trying to read.,Emergency
kidney cancer,"My doctor said the kidney mass is nothing, but I still worry.",High
hemiplegia,The weakness in my body is so overwhelming; I feel like I’m losing myself.,Emergency
malignant hypertension,Can this overwhelming shortness of breath really just be from high blood pressure?,Emergency
gastrointestinal hemorrhage,"Each time I see blood, I feel a wave of panic wash over me.",Emergency
malignant hypertension,"Every time I try to sleep, my mind races, and my chest feels heavy.",Emergency
congenital heart defect,"Lately, i'm constantly fatigued and can't keep up with my friends during normal activities.",High
poisoning due to antimicrobial drugs,"I feel swollen everywhere, especially in my legs; this isn't normal for me after taking those pills.",Emergency
kidney failure,"I couldn't catch my breath after walking just a few steps, and it scared me.",High
acne,I wish my skin didn’t feel so scaly and covered in acne.,Low
sepsis,"After feeling ill for days, the sudden abdominal pain scared me into action.",Emergency
high blood pressure,"High blood pressure is tough, especially with this nagging pain in my chest.",High
poisoning due to ethylene glycol,The headache is severe and I feel extremely drowsy after the accidental ingestion; it's really concerning.,Emergency
congenital malformation syndrome,I'm worried about my child's persistent symptoms that seem to be getting worse.,Medium
intracranial abscess,"I am feeling confused and nauseous, and the pain in my head is excruciating.",Medium
poisoning due to anticonvulsants,"After taking my meds, I struggle with basic movement; it’s concerning.",Emergency
myositis,"My hip pain flares up unexpectedly, and it's so frustrating.",Medium
stroke,"My left arm went completely weak, and I couldn't lift it at all.",Emergency
poisoning due to antipsychotics,"The muscle stiffness is severe, and I feel extremely confused and agitated. I really need help.",Emergency
intracranial hemorrhage,I can’t believe how quickly I went from fine to vomiting and unable to see properly.,Emergency
pneumothorax,"The back pain is crippling, and I'm gasping for air.",Emergency
common cold,Why do I have chills during the day when I’m not even sick?,Low
insect bite,My hand has started swelling since that insect bite; I didn’t expect this reaction.,Low
poisoning due to gas,Shortness of breath hit me suddenly when I entered the gas-filled room.,Emergency
abscess of the lung,"The chest pain is unbearable when I cough, and I've lost my appetite completely.",High
poisoning due to antipsychotics,"The muscle stiffness is severe, and I feel extremely confused and agitated. I really need help.",Emergency
acne,I’m frustrated with how my acne leaves my skin looking so abnormal.,Low
peripheral arterial disease,I can't believe how much pain my legs are in after just a short walk.,Medium
common cold,It’s not just the cold; now I’m dealing with an ear infection too!,Low
frostbite,"Lately, the affected areas are turning black at the edges, and the pain is unbearable.",Medium
